image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.815968,bus,van,False
drive_022,2,5,0.768238,truck,bus,False
drive_022,3,3,0.730604,car,car,True
drive_022,4,4,0.668413,car,car,True
drive_022,5,1,0.839903,car,car,True
drive_033,3,12,0.866618,bus,van,False
drive_033,4,7,0.817301,car,car,True
drive_033,5,5,0.764168,car,car,True
drive_033,6,9,0.802417,car,car,True
drive_033,9,11,0.892993,car,car,True
drive_033,10,4,0.672303,car,car,True
drive_033,12,8,0.800634,car,car,True
drive_033,14,2,0.640638,truck,bus,False
drive_033,18,6,0.796245,car,car,True
drive_033,19,1,0.928019,bus,van,False
drive_033,20,10,0.805383,car,car,True
drive_033,21,3,0.742754,car,car,True
drive_038,2,2,0.898491,car,car,True
drive_038,3,3,0.880195,car,car,True
drive_038,4,1,0.974467,car,car,True
drive_038,5,8,0.861816,car,car,True
drive_038,6,7,0.806901,car,car,True
drive_038,7,12,0.817343,car,car,True
drive_038,8,10,0.807453,car,car,True
drive_038,9,14,0.874996,car,car,True
drive_038,10,13,0.784586,car,car,True
drive_038,11,16,0.926961,car,car,True
drive_038,12,15,0.866279,van,truck,False
drive_038,14,9,0.831228,truck,bus,False
drive_038,16,4,0.880364,car,car,True
drive_038,17,17,0.939259,car,car,True
drive_038,19,5,0.909178,truck,bus,False
drive_038,21,11,0.882398,car,car,True
drive_038,22,6,0.850171,car,car,True
drive_008,1,12,0.783037,van,truck,False
drive_008,3,9,0.879376,bus,van,False
drive_008,5,13,0.799848,car,car,True
drive_008,7,3,0.818679,van,truck,False
drive_008,9,5,0.742897,van,truck,False
drive_008,10,11,0.804588,car,car,True
drive_008,11,6,0.766386,car,car,True
drive_008,12,4,0.853454,car,car,True
drive_008,13,2,0.793566,car,car,True
drive_008,14,16,0.845599,car,car,True
drive_008,22,15,0.175166,car,car,True
drive_008,23,14,0.874227,car,car,True
drive_008,24,7,0.768778,car,car,True
drive_008,25,1,0.745054,truck,bus,False
